Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
| distributed init (rank 0): env://
| distributed init (rank 1): env://
Namespace(data_path='/media/data/coco2017', weights_path=None, dataset='coco', model='my_fcos_resnet50_fpn', device='cuda', batch_size=2, epochs=26, workers=4, opt='sgd', lr=0.005, momentum=0.9, weight_decay=0.0001, norm_weight_decay=None, lr_scheduler='multisteplr', lr_step_size=8, lr_steps=[16, 22], lr_gamma=0.1, print_freq=20, output_dir='./outputs/FCOS/s3c_s4o_s5g', resume='', start_epoch=0, aspect_ratio_group_factor=3, rpn_score_thresh=None, trainable_backbone_layers=None, data_augmentation='hflip', sync_bn=False, test_only=False, use_deterministic_algorithms=False, world_size=2, dist_url='env://', weights=None, weights_backbone='ResNet50_Weights.IMAGENET1K_V1', amp=True, use_copypaste=False, backend='pil', use_v2=False, rank=0, gpu=0, distributed=True, dist_backend='nccl')
Loading data
root:  /media/data/coco2017
img_folder:  train2017
loading annotations into memory...
Done (t=8.31s)
creating index...
index created!
root:  /media/data/coco2017
img_folder:  val2017
loading annotations into memory...
Done (t=0.21s)
creating index...
index created!
Creating data loaders
Using [0, 0.5, 0.6299605249474365, 0.7937005259840997, 1.0, 1.259921049894873, 1.5874010519681991, 2.0, inf] as bins for aspect ratio quantization
Count of instances per bin: [  104   982 24236  2332  8225 74466  5763  1158]
Creating model
return_layers: {'layer2': '0', 'layer3': '1', 'layer4': '2'}
extra_blocks: LastLevelP6P7(
  (p6): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  (p7): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
)
Loading weights from ResNet50_Weights.IMAGENET1K_V1
return_layers: {'layer2': '0', 'layer3': '1', 'layer4': '2'}
extra_blocks: LastLevelP6P7(
  (p6): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  (p7): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
)
Start training
Epoch: [0]  [21880/29316]  eta: 0:27:13  lr: 0.005000  loss: 1.3826 (1.4650)  bbox_ctrness: 0.6303 (0.6378)  bbox_regression: 0.2996 (0.3360)  classification: 0.4269 (0.4912)  time: 0.2221  data: 0.0035  max mem: 5471
Epoch: [0]  [21900/29316]  eta: 0:27:08  lr: 0.005000  loss: 1.3521 (1.4649)  bbox_ctrness: 0.6310 (0.6378)  bbox_regression: 0.2890 (0.3360)  classification: 0.4307 (0.4911)  time: 0.2201  data: 0.0036  max mem: 5471
Epoch: [0]  [21920/29316]  eta: 0:27:04  lr: 0.005000  loss: 1.2952 (1.4648)  bbox_ctrness: 0.6281 (0.6378)  bbox_regression: 0.2824 (0.3359)  classification: 0.4165 (0.4911)  time: 0.2185  data: 0.0036  max mem: 5471
Epoch: [0]  [21940/29316]  eta: 0:26:59  lr: 0.005000  loss: 1.3471 (1.4647)  bbox_ctrness: 0.6328 (0.6378)  bbox_regression: 0.3129 (0.3359)  classification: 0.4029 (0.4910)  time: 0.2167  data: 0.0036  max mem: 5471
Epoch: [0]  [21960/29316]  eta: 0:26:55  lr: 0.005000  loss: 1.3448 (1.4646)  bbox_ctrness: 0.6250 (0.6378)  bbox_regression: 0.3115 (0.3359)  classification: 0.3950 (0.4909)  time: 0.2220  data: 0.0036  max mem: 5471
Epoch: [0]  [21980/29316]  eta: 0:26:51  lr: 0.005000  loss: 1.3082 (1.4645)  bbox_ctrness: 0.6291 (0.6378)  bbox_regression: 0.2841 (0.3358)  classification: 0.3799 (0.4908)  time: 0.2180  data: 0.0036  max mem: 5471
Epoch: [0]  [22000/29316]  eta: 0:26:46  lr: 0.005000  loss: 1.3428 (1.4644)  bbox_ctrness: 0.6318 (0.6378)  bbox_regression: 0.3015 (0.3358)  classification: 0.4231 (0.4908)  time: 0.2197  data: 0.0035  max mem: 5471
Epoch: [0]  [22020/29316]  eta: 0:26:42  lr: 0.005000  loss: 1.3165 (1.4642)  bbox_ctrness: 0.6296 (0.6378)  bbox_regression: 0.3018 (0.3358)  classification: 0.3607 (0.4907)  time: 0.2165  data: 0.0035  max mem: 5471
Epoch: [0]  [22040/29316]  eta: 0:26:37  lr: 0.005000  loss: 1.3572 (1.4641)  bbox_ctrness: 0.6311 (0.6378)  bbox_regression: 0.3005 (0.3357)  classification: 0.4228 (0.4906)  time: 0.2171  data: 0.0036  max mem: 5471
Epoch: [0]  [22060/29316]  eta: 0:26:33  lr: 0.005000  loss: 1.3522 (1.4641)  bbox_ctrness: 0.6363 (0.6378)  bbox_regression: 0.3083 (0.3357)  classification: 0.3891 (0.4906)  time: 0.2213  data: 0.0039  max mem: 5471
Epoch: [0]  [22080/29316]  eta: 0:26:29  lr: 0.005000  loss: 1.3278 (1.4639)  bbox_ctrness: 0.6311 (0.6378)  bbox_regression: 0.3045 (0.3357)  classification: 0.3987 (0.4905)  time: 0.2188  data: 0.0036  max mem: 5471
Epoch: [0]  [22100/29316]  eta: 0:26:24  lr: 0.005000  loss: 1.3617 (1.4638)  bbox_ctrness: 0.6317 (0.6378)  bbox_regression: 0.3017 (0.3356)  classification: 0.4149 (0.4904)  time: 0.2175  data: 0.0036  max mem: 5471
Epoch: [0]  [22120/29316]  eta: 0:26:20  lr: 0.005000  loss: 1.3102 (1.4637)  bbox_ctrness: 0.6265 (0.6377)  bbox_regression: 0.2919 (0.3356)  classification: 0.3994 (0.4904)  time: 0.2198  data: 0.0036  max mem: 5471
Epoch: [0]  [22140/29316]  eta: 0:26:15  lr: 0.005000  loss: 1.3159 (1.4636)  bbox_ctrness: 0.6300 (0.6377)  bbox_regression: 0.2787 (0.3356)  classification: 0.4095 (0.4903)  time: 0.2174  data: 0.0038  max mem: 5471
Epoch: [0]  [22160/29316]  eta: 0:26:11  lr: 0.005000  loss: 1.3467 (1.4635)  bbox_ctrness: 0.6284 (0.6377)  bbox_regression: 0.2907 (0.3355)  classification: 0.4161 (0.4903)  time: 0.2216  data: 0.0038  max mem: 5471
Epoch: [0]  [22180/29316]  eta: 0:26:07  lr: 0.005000  loss: 1.3802 (1.4634)  bbox_ctrness: 0.6283 (0.6377)  bbox_regression: 0.2953 (0.3355)  classification: 0.4354 (0.4902)  time: 0.2165  data: 0.0037  max mem: 5471
Epoch: [0]  [22200/29316]  eta: 0:26:02  lr: 0.005000  loss: 1.3163 (1.4633)  bbox_ctrness: 0.6295 (0.6377)  bbox_regression: 0.2750 (0.3354)  classification: 0.3909 (0.4901)  time: 0.2200  data: 0.0034  max mem: 5471
Epoch: [0]  [22220/29316]  eta: 0:25:58  lr: 0.005000  loss: 1.2561 (1.4631)  bbox_ctrness: 0.6265 (0.6377)  bbox_regression: 0.2792 (0.3354)  classification: 0.3903 (0.4900)  time: 0.2204  data: 0.0035  max mem: 5471
Epoch: [0]  [22240/29316]  eta: 0:25:54  lr: 0.005000  loss: 1.3007 (1.4630)  bbox_ctrness: 0.6324 (0.6377)  bbox_regression: 0.2936 (0.3354)  classification: 0.3912 (0.4900)  time: 0.2222  data: 0.0036  max mem: 5471
Epoch: [0]  [22260/29316]  eta: 0:25:49  lr: 0.005000  loss: 1.3106 (1.4629)  bbox_ctrness: 0.6343 (0.6377)  bbox_regression: 0.2918 (0.3353)  classification: 0.3989 (0.4899)  time: 0.2167  data: 0.0037  max mem: 5471
Epoch: [0]  [22280/29316]  eta: 0:25:45  lr: 0.005000  loss: 1.2965 (1.4628)  bbox_ctrness: 0.6301 (0.6377)  bbox_regression: 0.2680 (0.3353)  classification: 0.3838 (0.4898)  time: 0.2226  data: 0.0037  max mem: 5471
Epoch: [0]  [22300/29316]  eta: 0:25:40  lr: 0.005000  loss: 1.3481 (1.4627)  bbox_ctrness: 0.6332 (0.6377)  bbox_regression: 0.3063 (0.3352)  classification: 0.3961 (0.4897)  time: 0.2171  data: 0.0035  max mem: 5471
Epoch: [0]  [22320/29316]  eta: 0:25:36  lr: 0.005000  loss: 1.3387 (1.4626)  bbox_ctrness: 0.6349 (0.6377)  bbox_regression: 0.3068 (0.3352)  classification: 0.3962 (0.4897)  time: 0.2233  data: 0.0036  max mem: 5471
Epoch: [0]  [22340/29316]  eta: 0:25:32  lr: 0.005000  loss: 1.2996 (1.4624)  bbox_ctrness: 0.6320 (0.6377)  bbox_regression: 0.2904 (0.3352)  classification: 0.3738 (0.4896)  time: 0.2161  data: 0.0037  max mem: 5471
Epoch: [0]  [22360/29316]  eta: 0:25:27  lr: 0.005000  loss: 1.3029 (1.4623)  bbox_ctrness: 0.6295 (0.6377)  bbox_regression: 0.2773 (0.3351)  classification: 0.3762 (0.4895)  time: 0.2127  data: 0.0038  max mem: 5471
Epoch: [0]  [22380/29316]  eta: 0:25:23  lr: 0.005000  loss: 1.2906 (1.4622)  bbox_ctrness: 0.6241 (0.6377)  bbox_regression: 0.2935 (0.3351)  classification: 0.3578 (0.4894)  time: 0.2207  data: 0.0036  max mem: 5471
Epoch: [0]  [22400/29316]  eta: 0:25:18  lr: 0.005000  loss: 1.3163 (1.4620)  bbox_ctrness: 0.6295 (0.6377)  bbox_regression: 0.3064 (0.3351)  classification: 0.3769 (0.4893)  time: 0.2187  data: 0.0037  max mem: 5471
Epoch: [0]  [22420/29316]  eta: 0:25:14  lr: 0.005000  loss: 1.2874 (1.4619)  bbox_ctrness: 0.6270 (0.6377)  bbox_regression: 0.2679 (0.3350)  classification: 0.3841 (0.4892)  time: 0.2184  data: 0.0037  max mem: 5471
Epoch: [0]  [22440/29316]  eta: 0:25:09  lr: 0.005000  loss: 1.3167 (1.4618)  bbox_ctrness: 0.6283 (0.6377)  bbox_regression: 0.2841 (0.3350)  classification: 0.3913 (0.4891)  time: 0.2104  data: 0.0036  max mem: 5471
Epoch: [0]  [22460/29316]  eta: 0:25:05  lr: 0.005000  loss: 1.3559 (1.4616)  bbox_ctrness: 0.6255 (0.6376)  bbox_regression: 0.2763 (0.3349)  classification: 0.4246 (0.4891)  time: 0.2220  data: 0.0036  max mem: 5471
Epoch: [0]  [22480/29316]  eta: 0:25:01  lr: 0.005000  loss: 1.3597 (1.4615)  bbox_ctrness: 0.6343 (0.6376)  bbox_regression: 0.3003 (0.3349)  classification: 0.4235 (0.4890)  time: 0.2205  data: 0.0038  max mem: 5471
Epoch: [0]  [22500/29316]  eta: 0:24:56  lr: 0.005000  loss: 1.3322 (1.4614)  bbox_ctrness: 0.6330 (0.6376)  bbox_regression: 0.2877 (0.3348)  classification: 0.4035 (0.4890)  time: 0.2199  data: 0.0034  max mem: 5471
Epoch: [0]  [22520/29316]  eta: 0:24:52  lr: 0.005000  loss: 1.3410 (1.4613)  bbox_ctrness: 0.6331 (0.6376)  bbox_regression: 0.3074 (0.3348)  classification: 0.4253 (0.4889)  time: 0.2158  data: 0.0036  max mem: 5471
Epoch: [0]  [22540/29316]  eta: 0:24:48  lr: 0.005000  loss: 1.3394 (1.4612)  bbox_ctrness: 0.6329 (0.6376)  bbox_regression: 0.3034 (0.3348)  classification: 0.4075 (0.4888)  time: 0.2226  data: 0.0037  max mem: 5471
Epoch: [0]  [22560/29316]  eta: 0:24:43  lr: 0.005000  loss: 1.3306 (1.4611)  bbox_ctrness: 0.6309 (0.6376)  bbox_regression: 0.2790 (0.3347)  classification: 0.3908 (0.4887)  time: 0.2172  data: 0.0040  max mem: 5471
Epoch: [0]  [22580/29316]  eta: 0:24:39  lr: 0.005000  loss: 1.3338 (1.4610)  bbox_ctrness: 0.6345 (0.6376)  bbox_regression: 0.3042 (0.3347)  classification: 0.3766 (0.4887)  time: 0.2173  data: 0.0037  max mem: 5471
Epoch: [0]  [22600/29316]  eta: 0:24:34  lr: 0.005000  loss: 1.3546 (1.4609)  bbox_ctrness: 0.6234 (0.6376)  bbox_regression: 0.2923 (0.3347)  classification: 0.4144 (0.4886)  time: 0.2194  data: 0.0039  max mem: 5471
Epoch: [0]  [22620/29316]  eta: 0:24:30  lr: 0.005000  loss: 1.3612 (1.4608)  bbox_ctrness: 0.6262 (0.6376)  bbox_regression: 0.3017 (0.3346)  classification: 0.4229 (0.4886)  time: 0.2192  data: 0.0038  max mem: 5471
Epoch: [0]  [22640/29316]  eta: 0:24:26  lr: 0.005000  loss: 1.3520 (1.4607)  bbox_ctrness: 0.6299 (0.6376)  bbox_regression: 0.2858 (0.3346)  classification: 0.4199 (0.4885)  time: 0.2196  data: 0.0037  max mem: 5471
Epoch: [0]  [22660/29316]  eta: 0:24:21  lr: 0.005000  loss: 1.3223 (1.4606)  bbox_ctrness: 0.6266 (0.6376)  bbox_regression: 0.2752 (0.3346)  classification: 0.4169 (0.4885)  time: 0.2200  data: 0.0037  max mem: 5471
Epoch: [0]  [22680/29316]  eta: 0:24:17  lr: 0.005000  loss: 1.3349 (1.4605)  bbox_ctrness: 0.6304 (0.6376)  bbox_regression: 0.2929 (0.3345)  classification: 0.3886 (0.4884)  time: 0.2158  data: 0.0038  max mem: 5471
Epoch: [0]  [22700/29316]  eta: 0:24:12  lr: 0.005000  loss: 1.3150 (1.4604)  bbox_ctrness: 0.6306 (0.6376)  bbox_regression: 0.2994 (0.3345)  classification: 0.3735 (0.4883)  time: 0.2207  data: 0.0036  max mem: 5471
Epoch: [0]  [22720/29316]  eta: 0:24:08  lr: 0.005000  loss: 1.3026 (1.4603)  bbox_ctrness: 0.6264 (0.6376)  bbox_regression: 0.2790 (0.3345)  classification: 0.4002 (0.4882)  time: 0.2194  data: 0.0037  max mem: 5471
Epoch: [0]  [22740/29316]  eta: 0:24:04  lr: 0.005000  loss: 1.3392 (1.4602)  bbox_ctrness: 0.6278 (0.6376)  bbox_regression: 0.2909 (0.3344)  classification: 0.3752 (0.4882)  time: 0.2213  data: 0.0037  max mem: 5471
Epoch: [0]  [22760/29316]  eta: 0:23:59  lr: 0.005000  loss: 1.3235 (1.4600)  bbox_ctrness: 0.6231 (0.6376)  bbox_regression: 0.2734 (0.3344)  classification: 0.4138 (0.4881)  time: 0.2219  data: 0.0036  max mem: 5471
Epoch: [0]  [22780/29316]  eta: 0:23:55  lr: 0.005000  loss: 1.2887 (1.4599)  bbox_ctrness: 0.6319 (0.6376)  bbox_regression: 0.2751 (0.3343)  classification: 0.3864 (0.4880)  time: 0.2181  data: 0.0035  max mem: 5471
Epoch: [0]  [22800/29316]  eta: 0:23:50  lr: 0.005000  loss: 1.2691 (1.4597)  bbox_ctrness: 0.6252 (0.6375)  bbox_regression: 0.2813 (0.3343)  classification: 0.3724 (0.4879)  time: 0.2164  data: 0.0038  max mem: 5471
Epoch: [0]  [22820/29316]  eta: 0:23:46  lr: 0.005000  loss: 1.3028 (1.4596)  bbox_ctrness: 0.6299 (0.6375)  bbox_regression: 0.2710 (0.3342)  classification: 0.4015 (0.4878)  time: 0.2197  data: 0.0038  max mem: 5471
Epoch: [0]  [22840/29316]  eta: 0:23:42  lr: 0.005000  loss: 1.3490 (1.4595)  bbox_ctrness: 0.6329 (0.6375)  bbox_regression: 0.2988 (0.3342)  classification: 0.3987 (0.4878)  time: 0.2216  data: 0.0038  max mem: 5471
Epoch: [0]  [22860/29316]  eta: 0:23:37  lr: 0.005000  loss: 1.3519 (1.4594)  bbox_ctrness: 0.6323 (0.6375)  bbox_regression: 0.2872 (0.3342)  classification: 0.4477 (0.4877)  time: 0.2223  data: 0.0038  max mem: 5471
Epoch: [0]  [22880/29316]  eta: 0:23:33  lr: 0.005000  loss: 1.2846 (1.4593)  bbox_ctrness: 0.6325 (0.6375)  bbox_regression: 0.2830 (0.3341)  classification: 0.3893 (0.4876)  time: 0.2213  data: 0.0039  max mem: 5471
Epoch: [0]  [22900/29316]  eta: 0:23:28  lr: 0.005000  loss: 1.3127 (1.4592)  bbox_ctrness: 0.6349 (0.6375)  bbox_regression: 0.3088 (0.3341)  classification: 0.3709 (0.4876)  time: 0.2176  data: 0.0038  max mem: 5471
Epoch: [0]  [22920/29316]  eta: 0:23:24  lr: 0.005000  loss: 1.3042 (1.4591)  bbox_ctrness: 0.6329 (0.6375)  bbox_regression: 0.2893 (0.3341)  classification: 0.4039 (0.4875)  time: 0.2191  data: 0.0038  max mem: 5471
Epoch: [0]  [22940/29316]  eta: 0:23:20  lr: 0.005000  loss: 1.3804 (1.4590)  bbox_ctrness: 0.6285 (0.6375)  bbox_regression: 0.2854 (0.3340)  classification: 0.4230 (0.4875)  time: 0.2231  data: 0.0037  max mem: 5471
Epoch: [0]  [22960/29316]  eta: 0:23:15  lr: 0.005000  loss: 1.3723 (1.4589)  bbox_ctrness: 0.6343 (0.6375)  bbox_regression: 0.3091 (0.3340)  classification: 0.4182 (0.4874)  time: 0.2171  data: 0.0037  max mem: 5471
Epoch: [0]  [22980/29316]  eta: 0:23:11  lr: 0.005000  loss: 1.3581 (1.4588)  bbox_ctrness: 0.6278 (0.6375)  bbox_regression: 0.3137 (0.3340)  classification: 0.3911 (0.4873)  time: 0.2223  data: 0.0038  max mem: 5471
Epoch: [0]  [23000/29316]  eta: 0:23:07  lr: 0.005000  loss: 1.3042 (1.4587)  bbox_ctrness: 0.6332 (0.6375)  bbox_regression: 0.3028 (0.3340)  classification: 0.3701 (0.4872)  time: 0.2210  data: 0.0036  max mem: 5471
Epoch: [0]  [23020/29316]  eta: 0:23:02  lr: 0.005000  loss: 1.3148 (1.4586)  bbox_ctrness: 0.6316 (0.6375)  bbox_regression: 0.2857 (0.3339)  classification: 0.3961 (0.4872)  time: 0.2209  data: 0.0035  max mem: 5471
Epoch: [0]  [23040/29316]  eta: 0:22:58  lr: 0.005000  loss: 1.2930 (1.4584)  bbox_ctrness: 0.6340 (0.6375)  bbox_regression: 0.2907 (0.3339)  classification: 0.3668 (0.4871)  time: 0.2202  data: 0.0036  max mem: 5471
Epoch: [0]  [23060/29316]  eta: 0:22:53  lr: 0.005000  loss: 1.3283 (1.4583)  bbox_ctrness: 0.6331 (0.6375)  bbox_regression: 0.2825 (0.3338)  classification: 0.4117 (0.4870)  time: 0.2189  data: 0.0035  max mem: 5471
Epoch: [0]  [23080/29316]  eta: 0:22:49  lr: 0.005000  loss: 1.2939 (1.4582)  bbox_ctrness: 0.6267 (0.6375)  bbox_regression: 0.2873 (0.3338)  classification: 0.3806 (0.4869)  time: 0.2192  data: 0.0036  max mem: 5471
Epoch: [0]  [23100/29316]  eta: 0:22:45  lr: 0.005000  loss: 1.2573 (1.4581)  bbox_ctrness: 0.6303 (0.6375)  bbox_regression: 0.2896 (0.3338)  classification: 0.3479 (0.4868)  time: 0.2190  data: 0.0038  max mem: 5471
Epoch: [0]  [23120/29316]  eta: 0:22:40  lr: 0.005000  loss: 1.2991 (1.4580)  bbox_ctrness: 0.6353 (0.6375)  bbox_regression: 0.2692 (0.3337)  classification: 0.4039 (0.4868)  time: 0.2178  data: 0.0037  max mem: 5471
Epoch: [0]  [23140/29316]  eta: 0:22:36  lr: 0.005000  loss: 1.2995 (1.4579)  bbox_ctrness: 0.6311 (0.6375)  bbox_regression: 0.3083 (0.3337)  classification: 0.3656 (0.4867)  time: 0.2199  data: 0.0038  max mem: 5471
Epoch: [0]  [23160/29316]  eta: 0:22:31  lr: 0.005000  loss: 1.2610 (1.4577)  bbox_ctrness: 0.6311 (0.6375)  bbox_regression: 0.2992 (0.3337)  classification: 0.3695 (0.4866)  time: 0.2211  data: 0.0037  max mem: 5471
Epoch: [0]  [23180/29316]  eta: 0:22:27  lr: 0.005000  loss: 1.2732 (1.4576)  bbox_ctrness: 0.6272 (0.6374)  bbox_regression: 0.2625 (0.3336)  classification: 0.3785 (0.4865)  time: 0.2195  data: 0.0036  max mem: 5471
Epoch: [0]  [23200/29316]  eta: 0:22:23  lr: 0.005000  loss: 1.3595 (1.4575)  bbox_ctrness: 0.6331 (0.6374)  bbox_regression: 0.2986 (0.3336)  classification: 0.4168 (0.4864)  time: 0.2183  data: 0.0037  max mem: 5471
Epoch: [0]  [23220/29316]  eta: 0:22:18  lr: 0.005000  loss: 1.2947 (1.4574)  bbox_ctrness: 0.6308 (0.6374)  bbox_regression: 0.2731 (0.3336)  classification: 0.3849 (0.4864)  time: 0.2177  data: 0.0035  max mem: 5471
Epoch: [0]  [23240/29316]  eta: 0:22:14  lr: 0.005000  loss: 1.3334 (1.4573)  bbox_ctrness: 0.6201 (0.6374)  bbox_regression: 0.2656 (0.3335)  classification: 0.4509 (0.4863)  time: 0.2223  data: 0.0036  max mem: 5471
Epoch: [0]  [23260/29316]  eta: 0:22:09  lr: 0.005000  loss: 1.3141 (1.4572)  bbox_ctrness: 0.6276 (0.6374)  bbox_regression: 0.2847 (0.3335)  classification: 0.4004 (0.4863)  time: 0.2215  data: 0.0037  max mem: 5471
Epoch: [0]  [23280/29316]  eta: 0:22:05  lr: 0.005000  loss: 1.3199 (1.4570)  bbox_ctrness: 0.6317 (0.6374)  bbox_regression: 0.2882 (0.3334)  classification: 0.3872 (0.4862)  time: 0.2186  data: 0.0038  max mem: 5471
Epoch: [0]  [23300/29316]  eta: 0:22:01  lr: 0.005000  loss: 1.2856 (1.4569)  bbox_ctrness: 0.6316 (0.6374)  bbox_regression: 0.2809 (0.3334)  classification: 0.3778 (0.4861)  time: 0.2224  data: 0.0038  max mem: 5471
Epoch: [0]  [23320/29316]  eta: 0:21:56  lr: 0.005000  loss: 1.3369 (1.4568)  bbox_ctrness: 0.6290 (0.6374)  bbox_regression: 0.2980 (0.3334)  classification: 0.4073 (0.4860)  time: 0.2211  data: 0.0036  max mem: 5471
Epoch: [0]  [23340/29316]  eta: 0:21:52  lr: 0.005000  loss: 1.2622 (1.4567)  bbox_ctrness: 0.6263 (0.6374)  bbox_regression: 0.2588 (0.3333)  classification: 0.3679 (0.4860)  time: 0.2216  data: 0.0036  max mem: 5471
Epoch: [0]  [23360/29316]  eta: 0:21:48  lr: 0.005000  loss: 1.3282 (1.4566)  bbox_ctrness: 0.6318 (0.6374)  bbox_regression: 0.2968 (0.3333)  classification: 0.4140 (0.4859)  time: 0.2208  data: 0.0038  max mem: 5471
Epoch: [0]  [23380/29316]  eta: 0:21:43  lr: 0.005000  loss: 1.3136 (1.4565)  bbox_ctrness: 0.6343 (0.6374)  bbox_regression: 0.2981 (0.3332)  classification: 0.4032 (0.4858)  time: 0.2207  data: 0.0037  max mem: 5471
Epoch: [0]  [23400/29316]  eta: 0:21:39  lr: 0.005000  loss: 1.3091 (1.4564)  bbox_ctrness: 0.6338 (0.6374)  bbox_regression: 0.2868 (0.3332)  classification: 0.3817 (0.4858)  time: 0.2162  data: 0.0036  max mem: 5471
Epoch: [0]  [23420/29316]  eta: 0:21:34  lr: 0.005000  loss: 1.3189 (1.4562)  bbox_ctrness: 0.6200 (0.6374)  bbox_regression: 0.2529 (0.3332)  classification: 0.3866 (0.4857)  time: 0.2206  data: 0.0034  max mem: 5471
Epoch: [0]  [23440/29316]  eta: 0:21:30  lr: 0.005000  loss: 1.3309 (1.4561)  bbox_ctrness: 0.6311 (0.6374)  bbox_regression: 0.2738 (0.3331)  classification: 0.4011 (0.4856)  time: 0.2216  data: 0.0036  max mem: 5471
Epoch: [0]  [23460/29316]  eta: 0:21:26  lr: 0.005000  loss: 1.2810 (1.4560)  bbox_ctrness: 0.6305 (0.6374)  bbox_regression: 0.2857 (0.3331)  classification: 0.3712 (0.4856)  time: 0.2194  data: 0.0035  max mem: 5471
Epoch: [0]  [23480/29316]  eta: 0:21:21  lr: 0.005000  loss: 1.3142 (1.4559)  bbox_ctrness: 0.6382 (0.6374)  bbox_regression: 0.3019 (0.3330)  classification: 0.3947 (0.4855)  time: 0.2159  data: 0.0036  max mem: 5471
Epoch: [0]  [23500/29316]  eta: 0:21:17  lr: 0.005000  loss: 1.4099 (1.4558)  bbox_ctrness: 0.6351 (0.6374)  bbox_regression: 0.2928 (0.3330)  classification: 0.4566 (0.4854)  time: 0.2210  data: 0.0036  max mem: 5471
Epoch: [0]  [23520/29316]  eta: 0:21:12  lr: 0.005000  loss: 1.2855 (1.4557)  bbox_ctrness: 0.6313 (0.6373)  bbox_regression: 0.2768 (0.3330)  classification: 0.3654 (0.4853)  time: 0.2237  data: 0.0035  max mem: 5471
Epoch: [0]  [23540/29316]  eta: 0:21:08  lr: 0.005000  loss: 1.3539 (1.4556)  bbox_ctrness: 0.6339 (0.6373)  bbox_regression: 0.3074 (0.3330)  classification: 0.4085 (0.4853)  time: 0.2186  data: 0.0038  max mem: 5471
Epoch: [0]  [23560/29316]  eta: 0:21:04  lr: 0.005000  loss: 1.3469 (1.4555)  bbox_ctrness: 0.6331 (0.6373)  bbox_regression: 0.3010 (0.3329)  classification: 0.3876 (0.4852)  time: 0.2213  data: 0.0039  max mem: 5471
Epoch: [0]  [23580/29316]  eta: 0:20:59  lr: 0.005000  loss: 1.2850 (1.4553)  bbox_ctrness: 0.6339 (0.6373)  bbox_regression: 0.2969 (0.3329)  classification: 0.3513 (0.4851)  time: 0.2202  data: 0.0036  max mem: 5471
Epoch: [0]  [23600/29316]  eta: 0:20:55  lr: 0.005000  loss: 1.3138 (1.4552)  bbox_ctrness: 0.6315 (0.6373)  bbox_regression: 0.2760 (0.3329)  classification: 0.3872 (0.4850)  time: 0.2200  data: 0.0036  max mem: 5471
Epoch: [0]  [23620/29316]  eta: 0:20:50  lr: 0.005000  loss: 1.3269 (1.4551)  bbox_ctrness: 0.6278 (0.6373)  bbox_regression: 0.2791 (0.3328)  classification: 0.4052 (0.4850)  time: 0.2148  data: 0.0035  max mem: 5471
Epoch: [0]  [23640/29316]  eta: 0:20:46  lr: 0.005000  loss: 1.2057 (1.4549)  bbox_ctrness: 0.6279 (0.6373)  bbox_regression: 0.2573 (0.3328)  classification: 0.3543 (0.4849)  time: 0.2172  data: 0.0035  max mem: 5471
Epoch: [0]  [23660/29316]  eta: 0:20:42  lr: 0.005000  loss: 1.3310 (1.4548)  bbox_ctrness: 0.6266 (0.6373)  bbox_regression: 0.2916 (0.3327)  classification: 0.4154 (0.4848)  time: 0.2164  data: 0.0035  max mem: 5471
Epoch: [0]  [23680/29316]  eta: 0:20:37  lr: 0.005000  loss: 1.2565 (1.4547)  bbox_ctrness: 0.6212 (0.6373)  bbox_regression: 0.2629 (0.3327)  classification: 0.3622 (0.4847)  time: 0.2156  data: 0.0036  max mem: 5471
Epoch: [0]  [23700/29316]  eta: 0:20:33  lr: 0.005000  loss: 1.2747 (1.4546)  bbox_ctrness: 0.6287 (0.6373)  bbox_regression: 0.2715 (0.3326)  classification: 0.3736 (0.4847)  time: 0.2172  data: 0.0036  max mem: 5471
Epoch: [0]  [23720/29316]  eta: 0:20:28  lr: 0.005000  loss: 1.3075 (1.4545)  bbox_ctrness: 0.6284 (0.6373)  bbox_regression: 0.2794 (0.3326)  classification: 0.4299 (0.4846)  time: 0.2142  data: 0.0034  max mem: 5471
Epoch: [0]  [23740/29316]  eta: 0:20:24  lr: 0.005000  loss: 1.2803 (1.4543)  bbox_ctrness: 0.6259 (0.6373)  bbox_regression: 0.2723 (0.3325)  classification: 0.3801 (0.4845)  time: 0.2177  data: 0.0036  max mem: 5471
Epoch: [0]  [23760/29316]  eta: 0:20:20  lr: 0.005000  loss: 1.3206 (1.4542)  bbox_ctrness: 0.6315 (0.6373)  bbox_regression: 0.2868 (0.3325)  classification: 0.4029 (0.4844)  time: 0.2231  data: 0.0037  max mem: 5471
Epoch: [0]  [23780/29316]  eta: 0:20:15  lr: 0.005000  loss: 1.3602 (1.4541)  bbox_ctrness: 0.6297 (0.6373)  bbox_regression: 0.2988 (0.3325)  classification: 0.4200 (0.4844)  time: 0.2207  data: 0.0039  max mem: 5471
